loan_word;purist_equivalent_edited
animadverteren;toesien, anmerken, gade-slaan, waarnemen, bevroeden,behartigen, waarschouwen, straffen
animeren;moedigen, moed geven
animeus;moedig, gehart, stout
animositeyt;moedigheyd, stoutheyd
annalen;jaar-boeken, jaarlijkse geschiedenis boeken
annate;jaarlijkse inkomst, opkomst van jaar
annecteren;anhegten, anknoopen, anbinden
annectie;anknooping, anhegting, anbinding
annex;angeknoopt, angebonden, bygevoegt
annihilatie;vernietinge, te niet doening
annihileren;vernietigen, te niet doen
anniversarien;jaarlijkse uytvaart viering
annotatie;anteykening, opschrijving
annoteren;anteykenen, opschrijven om te gedenken, merken
annueren;toewenken, toeknikken, toestaan
annullatie;vernietinge, te niet doening
annulleren de proceduren;de ding-taalen te niet doen, de regts-plegingvernietigen, de gedings-handel te niet doen
annulleren;vernietigen, te niet doen, afschaffen
annunciatie;boodschapping, verkondiging, verwittiging
annuncieren;boodschappen, verkondigen
anssoye;
antameren;
antecederen;voortgaan, overtreffen
antecelleren;uyt-munten, te boven gaan, overtreffen
antecesseur;voorsaat, voorganger
antecessie;voorgaaning, overtreffing
antedateren;te vooren anteykenen, te vroeg dag-teykenen
antemuraille;voorvest, voorburgt, voormuur
anteponeren;voorstellen, voorsetten, hooger houden en schatten
antepositie;voorstelling, voorsetting
Antichrist;tegen-besmeerde, besmeerde gelijk
anticipatie;vervroeging
anticiperen;vervroegen
antidateren;
antidot;tegengift, tegenbaat
antidotaal;versoek-schrift
antijk;oud, ouwer-wets
antikiteyt soeker;
antikiteyt;
antimonie;spits-glas, spies-glas, rauw spies-glas
antipathie;afkeer, weer-sin, tegen-sin, tegen-lijding, tegen-sugt
antipoden;tegen-voeters, tegen-voetelingen
antiqueren;oud maaken
antiquiteit-soeker;ondersoeker der oudheyd
antiquiteyt;oudheyd, al-oudheyd
antsouwen;anssoyen, anchovi, kleyne viskens, als stekel-baarskens,stekel-baarsviskens
anxieteyt;angst, benauwtheyd
anxietude;angst-valligheyd
apart;bysonder, bysonderlijk, afsonderlijk, verdeelt
apert;opentlijk, klaar
apertie;opening, opendoening
apocryph;verborgen, gedekt, verdonkert, verduystert
apocryphe boeken;verborgen boeken, verdonkerde boeken, verduysterdeboeken
apoint;
apologie;verantwoording, verdeediging, verdeedig-schrift
apoplexie;slag, geraaktheyd, beroertheyd, lijfs-beroertheyd
apostaat;afvallige, verloochenaar
apostasie;afval, afvalling, verloochening
apostel;gesant, afgesant, gesondene
aposteme;geswel, sweer
apostille;bescheyd op versoek-schrift, antwoord op een versoek-schrift
apostilleren;antwoord op versoek-schrift op de kant des selfs schrijven, bescheyd op versoek-schrift op des selfskant schrijven
apostumatie;swelling, sweering
apoteek;schuur, pak-huys
apoteek;apoteekers-winkel, kruyd-mengers winkel, kruyd-bereyders winkel
apoteeker;kruyd-menger, kruyd-bereyder
apozeme;kruyd-drank, kook-kruyd-drank
appaiseren;bevreedigen
appareil;bereydsel, toerusting
apparent;oog-schijnlijk, schijnbaarlijk, schijnend, mogelijk
apparentie;oog-schijnlijkheyd, schijnbaarheyd
appareren;bereyden, verschijnen, schijnen, gesien zijn, gesien worden
appart;afgesondert, afgedeelt
appast;aas, vet maakende spijs
appel in forma;beroep met opschorsing van ’t gewijsde, hooger betrekof hooger beroep met opschorsing van ’t gewijsde
appel;beroep, hooger beroep, hooger betrek, weder beroep, herroep
appellant;beroeper, weder-beroeper
appellatie;beroep
appelleren;beroepen, weder-roepen, hooger beroepen, hooger betrekken,herroepen
appenderen;anhangen
appendix;anhangsel, by anhang, byvoegsel, byval
appensement;bedenking, dag van beraad
appeteren;begeeren, hertelijk begeeren, graag zijn, seer lustig zijn
appetibel;begeerlijk
appetijt;begeerte, graagte, graagheyd, lust,eetens lust, trek begeerte tot iets
appingeren;anvoegen, byschrijven, byschilderen, bymaalen, anschilderen,opdigten
applauderen;vervrolijken, prijsen, toejuychen
applicatie;toe-eygening, toepassing
Appliceren;byvouwen, aanknoopen, byvoegen, toevoegen, toebegeeven
appliceren;toepassen, toe-eygenen, te pas brengen om saak te verklaaren
appointement commissoriaal;bevel van gemagtigde regter, bevel van hagesette regter
appointement dispositijf;regts-gebod van den Hove
appointement; antwoord op versoek-schrift, bescheyd op eenversoek-schrift, bevel op enkel versoek
appointeren;bestemmen, imant ergens bescheyden, dag-vaarden
apponeren;bysetten, bystellen
apportatie;bybrenging, anbrenging, andraaging, byvoering
apporteren;bybrengen, andraagen, byvoeren, anbrengen
apposeren;
appositie;bysetting, bystelling, toeset
apposteren;afrigten
apprecatie;toewensching, toebidding
appreceren;toebidden, toewenschen
apprecieren;waarderen, toeschatten, schatten
apprehendeerde; gevange, vastgehoudene, angetaste
apprehendeeren;vasthouden, vangen, antasten, vatten
apprehenderen;anvaarden, begrijpen, bevatten
apprehendeert;gevangen, vastgehouden, angetast
apprehensie;vangenis, vasthouding, hegtenis
approbatie;gestading, bevestiging, goedkenning, toestemming
approberen;gestaden, bevestigen, van waarde houden, goed kennen, goed agten,anneemen, looven
approche;nadering, naaking
approcheren;naderen
appropinquatie;genaaking
appropinqueren;genaaken, naderen, bykomen
appropriatie;toe-eygening
approprieren;toe-eygenen
appuy;leuning, steunsel, stutting
appuyeren;leunen, steunen, stutten
April;gras-maand
apt;bekwaam, nut
apteek;apteekers-winkel
apteeker;
apteren;voegen, byvoegen, vleyen, schikken, passen, bekwaam maaken
aptitude;bekwaamheyd, bekwaamlijkheyd
arbiters;gewillekeurde regters
arbitraal;goed-dunkende, beraadsaam, wilkeurlijk
arbitraale uytspraak;uytspraak van gewillekeurde regters
arbitraalijk;beraadsaamelijk, goed-dunkelijk
arbitrage;gewijsde, oordeel, uytspraak van gewillekeurde regters
Arbitrage;seggenschap, bemiddeling, uytspraak
arbitraire pene;ongesette straf, straffe naar goed dunken des regters
arbitrateurs;goede mannen, middelaars, scheyds-mannen, vreede-maakers
arbitreren;uytspreeken, bemiddelen, raadslaan, beraadslagen
arcenal;waapen-huys
arceren;weeren, afweeren, beletten, indrijven
archangel;eerste boode, opperboode
archebuse;
archebusier;
archier te paarde;schutter te paard, boog-schutter te paarde
archier;schutter, boog-schutter
architect;bouw-meester
architecture;bouw-konst
archiven;stads-kamer
arcion;zadel-boom
arcke;
arckebuse;
arckebuseren;
arckebusier;
arctatie;beklemming, benauwing
arcteren;benauwen, beklemmen, eng t’saamen sluyten
ardent;vuyrig, brandig, hittig, heftig
arderen;branden, vuyrig zijn, ontsteeken zijn van hitte, vuyrig ontsteeken zijn van liefde
ardeur;vuyrigheyd, hittigheyd, brand
arest;
arestant;
aresteerde;
aresteren;
argine;afdaking
arguatie;bewijsing, betooning, bestraffing, berisping, kibbeling
argueren;bewijsen, betoonen, overwinnen
argument;bewijs, bewijs-rede, strijd-rede
argumentatie;bewijsing, bewijs-redening, twist-redening
argumenteren;bewijsen, bewijs-redenen, twist-redenen
argut;loos, scherpsinnig
ariditeyt;droogte, dorheyd
aristocratie;bester-heersching, der bester re-geringe, adel regering
arithmetica;de tel-konst, reken-konst, tal-kunde, tel-kunde
arke des verbonds;arke des Heeren, de verbond-kist, kist des verbonds, de kist des Heeren, des Heeren kist
arke;kist
arkebuse;
arkebuseren;
arkebusier;
armade;krijgs-rusting
armaris;wapen-huys
armature;wapening, rusting, krijgs-rusting, wapen, harnas
armee;
armeren;wapenen, toerusten
armosyne;sijde laaken van Ormuz
armure;
aroma;wel-riekend kruyd
aromatijk;wel-riekend
aromatizeren;wel-riekend maaken
aronde;swaluwe, swaalme
arquebuse;vuur-roer, hand-geschut, hand-bus
arquebuseerde;doorschootene, dood geschootene
arquebuseren;schieten, dood schieten
arquebusier;schutter, schieter, vuur-roer-schieter, hand-schut-schieter, hand-bus-schieter
arrabel;buyten voorstel, buyten gesprek, buyten voorneeming
arrectie;opsteeking, opregting
arrement;overblijfsel, geding-vernieuwing
arrementen van een proces;gedings-vernieuwing, de anneeming van eenregts saak eenes overledene, geding-erving, de grond-vesten van geding
arrementen van het proces anneemen;begonne regts-saak van overledene anneemen en voorts vervolgen, sik selven geding-erfgenaam stellen, deoverblijfselen van geding anneemen
arrentement;verhuuringe, verpagtinge
arrenteren;verpagten, verhuuren
arreptie;angrijping, opvatting, anneeming
arres;waarder ken-penning, Gods-penning
arrest fundeert jurisdictie;besetting maakt bank-vast
arrest op een persoon;besetting, besetting op mensch
arrest op eenig goed;hand oplegging, hand oplegging op eenig goed,goederens in verseekering neeming
arrest;gewijsde sonder vorder beroep
Arrest;hand oplegging, hand oplegging op eenig goed, goederens in verseekeringneeming
Arrestabel goed;hand oplegbaar goed
arrestabel;besetbaar, besettelijk
arrestant;besetter
Arresteerde goed;’t hand opgelegde goed
arresteerde persoon;de besettede, de besettede mensch
arresteerde;besettede, vast-gesettede, in verseekeringgenomene, in bedwang genomene, bekommerde
arresteerder;
arresteert;of gearresteert, beset, bekommert, de hand opgelegt
arresteren;besetten, besetting doen, ophouden
arrideren;anlachchen, toelachchen, behaagen
arriegarde;agter-hoede, de agter spits van ’t leger, agter-togt van ’t heyr,laatste slag-orden
arrigeren;opsteeken, om hoog steeken, opregten
arripieren;opvatten, angrijpen, anneemen, anvaarden
arriveren;ankomen, anlanden
arroderen;in bijten, knaagen, beknabbelen, rond om afknaagen
arrogant;laatdunkend, trots, vermeeten, beroemelijk
arrogatie;
arrogeren;beroemen, vermeeten, toe-eygenen, anmatigen
arrosie;inbijting, knaaging
arrouseren;besproeyen
arsenal;
arsenik;ratte kruyd, wit ratte kruyd
arterie;slag-ader, hart-ader
artichaut;
articiok;
articulatie;geleeding, beleeding, ledenschikking, ledenstelling
articule;van lid tot lid seggen, beleden, ontleden
artifice;konst-handel, konst-greep, konst
artificiaal;konstig
artijke;lid-pijn, jigt, leden-siekte, leden-sugt, leden-krankheyd, lid-pijn jigtis siekte der leden
artijkel der wet;hoofd-stuk des wets, lid des wets, verdeeling der wet
artijkel;lid-verdeeling, hoofd-stuk, deel
artijkelen;vraag-stukken
artillerie;geschut, grof geschut, groot geschut
artillerij-huys;geschut-huys
artisaan;konst-meester, konstenaar
artischok;onsteekelige distel, strobil-doorn, eetbaar distel-kruyd
artist;
artschbisschop;
artschengel;
asare;hasel-wortel, mans-oor
ascendenten;opgaande maagen, vrienden in opgaande maagschap
ascenderen;opklimmen, opgaan, klimmen
ascensie;klimming, opklimming, opgang, opvaart, opsteyging
ascriberen;
ascriptie;
asijl;vry-stad, vry-plaats, schuyl-plaats
asparsies;
aspect;anschouw, ansigt
aspergen;spruyten van koraal-kruyd, koraal-kruyds spruyten, uytspruytsels vankoraal-kruyd, uytbotsels van koraal-kruyd
aspergeren;besprengen, besproeyen
asperges;koraal-kruyd
asperiteyt;scherpheyd, wrangheyd
asperneren;versmaaden, veragten
aspersie;besprenging, besproeying
aspicieren;ansien, anschouwen, anmerken, verneemen
aspiratie;anblaasing, toeblaasing
aspireren;anblaasen, blaasen, wayen
assaisine;huur dood-slag
assaisineren;om huur dood-slaan
assaisineur;huur dood-slager, gehuurde dood-slager
assaisonneren;bereyden, smaak geeven
assaut;anval, bespringing, bevegting
assay;proef, beproeving
assayeren;beproeven, ondervinden, geld beproeven
assayeur;geld-beproever, munt-proever
asscriberen;
asscriptie;
assectatie;navolging, geley
assecteren;navolgen, dikwils navolgen, najaagen, geleyden
assecuratie;versekering, versekering ter zee
assecureren;versekeren, veyligen eenige goederen koopmanschappen voorongeluk ter zee
assecutie;
assembleren;vergaaderen
assentatie;vleying, flattering, toestemming
assenteren;vleyen, flatteren, toestemmen verwilligen tot alle ’t geene een ander segt om hem te behaagen
assentieren;mede houden, toestemmen, van gevoelen zijn
assequeren;bekomen, verkrijgen, agterhaalen
assequutie;verkrijging, bekoming, agterhaaling
asseradeur;versekeraar
asserateur;
assereren;versekeren, verdaadigen, bevestigen, gestant doen
asserteur;verdaadiger, versekeraar, bevestiger,assertie, versekering, verdaadiging, bevesting
asservatie;bewaaring, behoeding, toesiening
asserveren;bewaaren, gade-slaan, toesien, behoeden
assesseren;bysitten
assesseur;toegevoegde regter, toegevoegde raads-heer
assesseurs;toegevoegde regters
asseuradeur;
asseurantie;versekering, versekering ter zee
asseurantie-meesters;haage sette regters in versekerings saaken
asseureren;versekeren, veyligen eenige goederen koopmanschappen voorongeluk ter zee
asseveratie;versekering, vaste toesegging
assevereren;versekeren, vastelijk toeseggen
assignatie van geld;anwijsing van geld, overwijsing van geld, toeschikking van geld, toegeschikt geld, toe-eygent geld
Assignatie;anwijsing, overgeeving, bewijs
assignatie;overwijsing, schuld overwijsing
assigneren;overwijsen, schuld overwijsen
Assigneren;wijten, toerekenen
assijs;
assijsener;
assijs-huys;
assijs-meester;
assimilatie;vergelijking, gelijkmaaking
assimileren;vergelijken, gelijk maaken
assimulatie;mede veynsing
assimuleren;mede veynsen
assise;regts-dag, ding-dag, sit-dag
assistent;mede hulper, bystander
assistentie;onderstant, hulp, bystant
assisteren;bystaan, raad-geven, onderstaan, helpen
assiteren;bystaan, raadgeeven, onderstant doen, helpen
associatie;verselling, verselschapping
associeren;verselschappen, met malkander vereenigen
assommeren;optellen
assopieren;stillen, sussen, in slaap wiegen
assumeren;annemen, byneemen, toeneemen, tot sik neemen, sik selventoeschikken
assumptie;anneeming, byneeming, toeneeming, tot sik neeming
assuradeur;
assurantie;
assureren;
astrict;verbonden
astrictie;
astringent;
astringeren;toeprangen, toetrekken, toedringen, stoppen
astringerent medicament;
astringerent;toetrekkend, t’saamen-trekkend, stoppend
astrologie;starre-kijk kunde, starre-kragt kunde, starre-kijking, starre-waan
astrologist;starre-kijker, starre-kragt-kenner, goedergeluk-segger, geboort-luk-segger
astronomie;starre-loop-kunde, starre-kunde
astronomist;starre-konstener, star-loop-kender
astructie;bevestiging, vastmaaking, beweering
astrueren;bevestigen, vast maaken, beweeren
astutie;schalkheyd, list, doortraptheyd
asur;
atheist;God loochener, God ontkenner
atheistery;God loochening, God ontkenning
atreux;fel, vinnig, wreed, bits, grimmig
attache;anhang-brief, vreemde regter gewijsdensuytvoer-brief, uytvoer-brief van het gewijsde eens vreemde regters
attacheren;anhegten, anhangen
attaqueren;anranden, anrantsen, angrijpen
attedieus;verdrietelijk, moeyelijk
attempereren;ergens na regten, ergens na volgen, na regten, volgen
attenderen;toe luysteren, ophooren, waarneemen, opletten
attent;andagtig, opmerkend, oplettend
attentaten;daadelijkheden tegen het verbod van den regter
attenteren;iets onderwinden, onderneemen, onderstaan te doen tegens bevel
Attenteren;onderneemen, onderwinden, onderstaan, beproeven
attentie;andagt, opmerking, toeluystering
attenuatie;verdunning, verkleyning
attenueren;verdunnen, verkleynen
attereren;anwrijven, verslijten, vermaalen
atterminatie;uytstel, uytstel van tijd midts stellende borge
atterminatie-brief;brief van uytstel van tijd, brief van uytstel
attermineren;uytstellen, verlengen
attestatie;getuygenisse, betuyging, verklaaring
attesteren;getuygen, betuygen, verklaaren, tot getuyge neemen, tot getuygeroepen
attexeren;anweven, byweven, anvoegen, byvoegen
attingeren;anraaken, anroeren, geraaken, genaaken, bereyken
attractie;natrekking, bytrekking, toetrekking
attraheren;natrekken, bytrekken, toetrekken
attraperen;betrappen, agterhaalen
attribueren;toeschikken, toegeeven, geeven, toe-eygenen, toeschrijven,toevoegen
attributie;toe-eygening, toeschikking, toeschrijving, toevoeging, toegeeving
attroce;wreedelijk, moetwilliglijk, fellijk, swaarlijk
aubade;nogtend-sang, morgen-spel, wek-gesang, gesang snaar-gespel
aubain;uyt-lander
auctentijc exempel;
auctentijc;kragtig, magtig, bekragtigt
auctentijc-schrift;bekragtigt-schrift, geloofwaardig-schrift
auctentijke copie;bekragtigt afschrift, uyt sik self geloofwaardig afschrift
auctentiseren;voor goed houden, goed vinden, geloofwaardig houden,bekragtigen, kragtig maaken, magtig maaken, vermeerderen
aucteur;vinder, maaker
auctorisatie;last, volmagt, magtiging, magtig maaking
auctoriseerde;volmagtigde, volmagt, magtig gemaakte, geloofbaar gemaakte,gesag gegeevene
auctoriseert;volmagtigt, magtig gemaakt, gemagtigt, geloofbaar gemaakt, gesaggegeeve
auctoriseren;volmagtigen, magtigen, magtig maaken, gesag geeven, geloofbaarmaaken
auctoriteyt;volmagt, magt, geloofbaarheyd, magtigheyd, vermogenheyd, gesag,agtbaarheyd, waardigheyd, magt hebbing, ansien, ansienlijkheyd,geloofwaardigheyd, overstaan
audacie;stoutheyd, onvertsaagtheyd
audacieus;stout, onvertsaagt
audi;hoort
audiencier;geregts uytroeper
audientie geeven;gehoor geeven, iemand hooren
